,precision,recall,f1-score,support
Normal,0.9935064935064936,0.6538461538461539,0.788659793814433,234.0
Pneumonia,0.8276595744680851,0.9974358974358974,0.9046511627906977,390.0
accuracy,0.8685897435897436,0.8685897435897436,0.8685897435897436,0.8685897435897436
macro avg,0.9105830339872893,0.8256410256410256,0.8466554783025653,624.0
weighted avg,0.8898521691074884,0.8685897435897436,0.8611543994245984,624.0
